best_book_id,book_id_new,title,small_image_url,original_publication_year,average_rating,authors,medium_image_url,large_image_url
15881,22.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://images.gr-assets.com/books/1474169725s/15881.jpg,1998.0,4.37,"J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725l/15881.jpg
6,23.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://images.gr-assets.com/books/1361482611s/6.jpg,2000.0,4.53,"J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611l/6.jpg
136251,24.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://images.gr-assets.com/books/1474171184s/136251.jpg,2007.0,4.61,"J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184l/136251.jpg
968,25.0,"The Da Vinci Code (Robert Langdon, #2)",https://images.gr-assets.com/books/1303252999s/968.jpg,2003.0,3.79,Dan Brown,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999l/968.jpg
1,26.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://images.gr-assets.com/books/1361039191s/1.jpg,2005.0,4.54,"J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191l/1.jpg
7624,27.0,Lord of the Flies,https://images.gr-assets.com/books/1327869409s/7624.jpg,1954.0,3.64,William Golding,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409l/7624.jpg
18135,28.0,Romeo and Juliet,https://images.gr-assets.com/books/1327872146s/18135.jpg,1595.0,3.73,"William Shakespeare, Robert           Jackson",https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146l/18135.jpg
19288043,29.0,Gone Girl,https://images.gr-assets.com/books/1339602131s/8442457.jpg,2012.0,4.03,Gillian Flynn,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131l/8442457.jpg
4667024,30.0,The Help,https://images.gr-assets.com/books/1346100365s/4667024.jpg,2009.0,4.45,Kathryn Stockett,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365l/4667024.jpg
890,31.0,Of Mice and Men,https://images.gr-assets.com/books/1437235233s/890.jpg,1937.0,3.84,John Steinbeck,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233l/890.jpg
929,32.0,Memoirs of a Geisha,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1997.0,4.08,Arthur Golden,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
10818853,33.0,"Fifty Shades of Grey (Fifty Shades, #1)",https://images.gr-assets.com/books/1385207843s/10818853.jpg,2011.0,3.67,E.L. James,https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843l/10818853.jpg
865,34.0,The Alchemist,https://images.gr-assets.com/books/1483412266s/865.jpg,1988.0,3.82,"Paulo Coelho, Alan R. Clarke",https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266l/865.jpg
3636,35.0,"The Giver (The Giver, #1)",https://images.gr-assets.com/books/1342493368s/3636.jpg,1993.0,4.12,Lois Lowry,https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368l/3636.jpg
100915,36.0,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",https://images.gr-assets.com/books/1353029077s/100915.jpg,1950.0,4.19,C.S. Lewis,https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077l/100915.jpg
18619684,37.0,The Time Traveler's Wife,https://images.gr-assets.com/books/1437728815s/14050.jpg,2003.0,3.95,Audrey Niffenegger,https://images.gr-assets.com/books/1437728815m/14050.jpg,https://images.gr-assets.com/books/1437728815l/14050.jpg
13496,38.0,"A Game of Thrones (A Song of Ice and Fire, #1)",https://images.gr-assets.com/books/1436732693s/13496.jpg,1996.0,4.45,George R.R. Martin,https://images.gr-assets.com/books/1436732693m/13496.jpg,https://images.gr-assets.com/books/1436732693l/13496.jpg
19501,39.0,"Eat, Pray, Love",https://images.gr-assets.com/books/1503066414s/19501.jpg,2006.0,3.51,Elizabeth Gilbert,https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414l/19501.jpg
28187,40.0,"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://images.gr-assets.com/books/1400602609s/28187.jpg,2005.0,4.23,Rick Riordan,https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609l/28187.jpg
1934,41.0,"Little Women (Little Women, #1)",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1868.0,4.04,Louisa May Alcott,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
10210,42.0,Jane Eyre,https://images.gr-assets.com/books/1327867269s/10210.jpg,1847.0,4.1,"Charlotte Brontë, Michael Mason",https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269l/10210.jpg
15931,43.0,"The Notebook (The Notebook, #1)",https://images.gr-assets.com/books/1385738917s/15931.jpg,1996.0,4.06,Nicholas Sparks,https://images.gr-assets.com/books/1385738917m/15931.jpg,https://images.gr-assets.com/books/1385738917l/15931.jpg
4214,44.0,Life of Pi,https://images.gr-assets.com/books/1320562005s/4214.jpg,2001.0,3.88,Yann Martel,https://images.gr-assets.com/books/1320562005m/4214.jpg,https://images.gr-assets.com/books/1320562005l/4214.jpg
43641,45.0,Water for Elephants,https://images.gr-assets.com/books/1494428973s/43641.jpg,2006.0,4.07,Sara Gruen,https://images.gr-assets.com/books/1494428973m/43641.jpg,https://images.gr-assets.com/books/1494428973l/43641.jpg
19063,46.0,The Book Thief,https://images.gr-assets.com/books/1390053681s/19063.jpg,2005.0,4.36,Markus Zusak,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681l/19063.jpg
4381,47.0,Fahrenheit 451,https://images.gr-assets.com/books/1351643740s/4381.jpg,1953.0,3.97,Ray Bradbury,https://images.gr-assets.com/books/1351643740m/4381.jpg,https://images.gr-assets.com/books/1351643740l/4381.jpg
49041,48.0,"New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440s/49041.jpg,2006.0,3.52,Stephenie Meyer,https://images.gr-assets.com/books/1361039440m/49041.jpg,https://images.gr-assets.com/books/1361039440l/49041.jpg
30119,49.0,Where the Sidewalk Ends,https://images.gr-assets.com/books/1168052448s/30119.jpg,1974.0,4.29,Shel Silverstein,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448l/30119.jpg
256683,50.0,"City of Bones (The Mortal Instruments, #1)",https://images.gr-assets.com/books/1432730315s/256683.jpg,2007.0,4.12,Cassandra Clare,https://images.gr-assets.com/books/1432730315m/256683.jpg,https://images.gr-assets.com/books/1432730315l/256683.jpg
428263,51.0,"Eclipse (Twilight, #3)",https://images.gr-assets.com/books/1361038355s/428263.jpg,2007.0,3.69,Stephenie Meyer,https://images.gr-assets.com/books/1361038355m/428263.jpg,https://images.gr-assets.com/books/1361038355l/428263.jpg
113436,52.0,"Eragon (The Inheritance Cycle, #1)",https://images.gr-assets.com/books/1366212852s/113436.jpg,2002.0,3.86,Christopher Paolini,https://images.gr-assets.com/books/1366212852m/113436.jpg,https://images.gr-assets.com/books/1366212852l/113436.jpg
386162,53.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",https://images.gr-assets.com/books/1327656754s/11.jpg,1979.0,4.2,Douglas Adams,https://images.gr-assets.com/books/1327656754m/11.jpg,https://images.gr-assets.com/books/1327656754l/11.jpg
5129,54.0,Brave New World,https://images.gr-assets.com/books/1487389574s/5129.jpg,1932.0,3.97,Aldous Huxley,https://images.gr-assets.com/books/1487389574m/5129.jpg,https://images.gr-assets.com/books/1487389574l/5129.jpg
1162543,55.0,"Breaking Dawn (Twilight, #4)",https://images.gr-assets.com/books/1361039438s/1162543.jpg,2008.0,3.7,Stephenie Meyer,https://images.gr-assets.com/books/1361039438m/1162543.jpg,https://images.gr-assets.com/books/1361039438l/1162543.jpg
37435,56.0,The Secret Life of Bees,https://images.gr-assets.com/books/1473454532s/37435.jpg,2001.0,4.01,Sue Monk Kidd,https://images.gr-assets.com/books/1473454532m/37435.jpg,https://images.gr-assets.com/books/1473454532l/37435.jpg
2956,57.0,The Adventures of Huckleberry Finn,https://images.gr-assets.com/books/1405973850s/2956.jpg,1884.0,3.8,"Mark Twain, John Seelye, Guy Cardwell",https://images.gr-assets.com/books/1405973850m/2956.jpg,https://images.gr-assets.com/books/1405973850l/2956.jpg
24178,58.0,Charlotte's Web,https://images.gr-assets.com/books/1439632243s/24178.jpg,1952.0,4.15,"E.B. White, Garth Williams, Rosemary Wells",https://images.gr-assets.com/books/1439632243m/24178.jpg,https://images.gr-assets.com/books/1439632243l/24178.jpg
1618,59.0,The Curious Incident of the Dog in the Night-Time,https://images.gr-assets.com/books/1479863624s/1618.jpg,2003.0,3.85,Mark Haddon,https://images.gr-assets.com/books/1479863624m/1618.jpg,https://images.gr-assets.com/books/1479863624l/1618.jpg
22557272,60.0,The Girl on the Train,https://images.gr-assets.com/books/1490903702s/22557272.jpg,2015.0,3.88,Paula Hawkins,https://images.gr-assets.com/books/1490903702m/22557272.jpg,https://images.gr-assets.com/books/1490903702l/22557272.jpg
119322,61.0,"The Golden Compass (His Dark Materials, #1)",https://images.gr-assets.com/books/1451271747s/119322.jpg,1995.0,3.94,Philip Pullman,https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747l/119322.jpg
6185,62.0,Wuthering Heights,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1847.0,3.82,"Emily Brontë, Richard J. Dunn",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
10917,63.0,My Sister's Keeper,https://images.gr-assets.com/books/1369504683s/10917.jpg,2004.0,4.06,Jodi Picoult,https://images.gr-assets.com/books/1369504683m/10917.jpg,https://images.gr-assets.com/books/1369504683l/10917.jpg
4981,64.0,Slaughterhouse-Five,https://images.gr-assets.com/books/1440319389s/4981.jpg,1969.0,4.06,Kurt Vonnegut Jr.,https://images.gr-assets.com/books/1440319389m/4981.jpg,https://images.gr-assets.com/books/1440319389l/4981.jpg
18405,65.0,Gone with the Wind,https://images.gr-assets.com/books/1328025229s/18405.jpg,1936.0,4.28,Margaret Mitchell,https://images.gr-assets.com/books/1328025229m/18405.jpg,https://images.gr-assets.com/books/1328025229l/18405.jpg
128029,66.0,A Thousand Splendid Suns,https://images.gr-assets.com/books/1345958969s/128029.jpg,2007.0,4.34,Khaled Hosseini,https://images.gr-assets.com/books/1345958969m/128029.jpg,https://images.gr-assets.com/books/1345958969l/128029.jpg
22628,67.0,The Perks of Being a Wallflower,https://images.gr-assets.com/books/1167352178s/22628.jpg,1999.0,4.21,Stephen Chbosky,https://images.gr-assets.com/books/1167352178m/22628.jpg,https://images.gr-assets.com/books/1167352178l/22628.jpg
11735983,68.0,"Insurgent (Divergent, #2)",https://images.gr-assets.com/books/1325667729s/11735983.jpg,2012.0,4.07,Veronica Roth,https://images.gr-assets.com/books/1325667729m/11735983.jpg,https://images.gr-assets.com/books/1325667729l/11735983.jpg
375802,69.0,"Ender's Game (Ender's Saga, #1)",https://images.gr-assets.com/books/1408303130s/375802.jpg,1985.0,4.3,Orson Scott Card,https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130l/375802.jpg
18490,70.0,Frankenstein,https://images.gr-assets.com/books/1381512375s/18490.jpg,1818.0,3.75,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",https://images.gr-assets.com/books/1381512375m/18490.jpg,https://images.gr-assets.com/books/1381512375l/18490.jpg
11588,71.0,The Shining (The Shining #1),https://images.gr-assets.com/books/1353277730s/11588.jpg,1977.0,4.17,Stephen King,https://images.gr-assets.com/books/1353277730m/11588.jpg,https://images.gr-assets.com/books/1353277730l/11588.jpg
1656001,72.0,"The Host (The Host, #1)",https://images.gr-assets.com/books/1318009171s/1656001.jpg,2008.0,3.84,Stephenie Meyer,https://images.gr-assets.com/books/1318009171m/1656001.jpg,https://images.gr-assets.com/books/1318009171l/1656001.jpg
99561,73.0,Looking for Alaska,https://images.gr-assets.com/books/1394798630s/99561.jpg,2005.0,4.09,John Green,https://images.gr-assets.com/books/1394798630m/99561.jpg,https://images.gr-assets.com/books/1394798630l/99561.jpg
227443,74.0,"Bridget Jones's Diary (Bridget Jones, #1)",https://images.gr-assets.com/books/1292060045s/227443.jpg,1996.0,3.75,Helen Fielding,https://images.gr-assets.com/books/1292060045m/227443.jpg,https://images.gr-assets.com/books/1292060045l/227443.jpg
14935,75.0,Sense and Sensibility,https://images.gr-assets.com/books/1397245675s/14935.jpg,1811.0,4.06,"Jane Austen, Tony Tanner, Ros Ballaster",https://images.gr-assets.com/books/1397245675m/14935.jpg,https://images.gr-assets.com/books/1397245675l/14935.jpg
38709,76.0,"Holes (Holes, #1)",https://images.gr-assets.com/books/1327781893s/38709.jpg,1998.0,3.93,"Louis Sachar, Louis Sachar",https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893l/38709.jpg
5139,77.0,"The Devil Wears Prada (The Devil Wears Prada, #1)",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2003.0,3.7,Lauren Weisberger,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1381,78.0,The Odyssey,https://images.gr-assets.com/books/1390173285s/1381.jpg,-720.0,3.73,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285l/1381.jpg
157993,79.0,The Little Prince,https://images.gr-assets.com/books/1367545443s/157993.jpg,1946.0,4.28,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",https://images.gr-assets.com/books/1367545443m/157993.jpg,https://images.gr-assets.com/books/1367545443l/157993.jpg
7445,80.0,The Glass Castle,https://images.gr-assets.com/books/1400930557s/7445.jpg,2005.0,4.24,Jeannette Walls,https://images.gr-assets.com/books/1400930557m/7445.jpg,https://images.gr-assets.com/books/1400930557l/7445.jpg
1845,81.0,Into the Wild,https://images.gr-assets.com/books/1403173986s/1845.jpg,1996.0,3.94,Jon Krakauer,https://images.gr-assets.com/books/1403173986m/1845.jpg,https://images.gr-assets.com/books/1403173986l/1845.jpg
1953,82.0,A Tale of Two Cities,https://images.gr-assets.com/books/1344922523s/1953.jpg,1859.0,3.81,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",https://images.gr-assets.com/books/1344922523m/1953.jpg,https://images.gr-assets.com/books/1344922523l/1953.jpg
6424171,83.0,"Jurassic Park (Jurassic Park, #1)",https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1990.0,3.96,Michael Crichton,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
370493,84.0,The Giving Tree,https://images.gr-assets.com/books/1174210942s/370493.jpg,1964.0,4.38,Shel Silverstein,https://images.gr-assets.com/books/1174210942m/370493.jpg,https://images.gr-assets.com/books/1174210942l/370493.jpg
32542,85.0,A Time to Kill,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1989.0,4.03,John Grisham,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1617,86.0,Night (The Night Trilogy #1),https://images.gr-assets.com/books/1473495285s/1617.jpg,1958.0,4.3,"Elie Wiesel, Marion Wiesel",https://images.gr-assets.com/books/1473495285m/1617.jpg,https://images.gr-assets.com/books/1473495285l/1617.jpg
6442769,87.0,Paper Towns,https://images.gr-assets.com/books/1349013610s/6442769.jpg,2008.0,3.88,John Green,https://images.gr-assets.com/books/1349013610m/6442769.jpg,https://images.gr-assets.com/books/1349013610l/6442769.jpg
21787,88.0,The Princess Bride ,https://images.gr-assets.com/books/1327903636s/21787.jpg,1973.0,4.25,William Goldman,https://images.gr-assets.com/books/1327903636m/21787.jpg,https://images.gr-assets.com/books/1327903636l/21787.jpg
231804,89.0,The Outsiders,https://images.gr-assets.com/books/1442129426s/231804.jpg,1967.0,4.06,S.E. Hinton,https://images.gr-assets.com/books/1442129426m/231804.jpg,https://images.gr-assets.com/books/1442129426l/231804.jpg
6186357,90.0,"The Maze Runner (Maze Runner, #1)",https://images.gr-assets.com/books/1375596592s/6186357.jpg,2009.0,4.02,James Dashner,https://images.gr-assets.com/books/1375596592m/6186357.jpg,https://images.gr-assets.com/books/1375596592l/6186357.jpg
1202,91.0,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",https://images.gr-assets.com/books/1327909092s/1202.jpg,2005.0,3.93,"Steven D. Levitt, Stephen J. Dubner",https://images.gr-assets.com/books/1327909092m/1202.jpg,https://images.gr-assets.com/books/1327909092l/1202.jpg
2998,92.0,The Secret Garden,https://images.gr-assets.com/books/1327873635s/2998.jpg,1911.0,4.12,Frances Hodgson Burnett,https://images.gr-assets.com/books/1327873635m/2998.jpg,https://images.gr-assets.com/books/1327873635l/2998.jpg
320,93.0,One Hundred Years of Solitude,https://images.gr-assets.com/books/1327881361s/320.jpg,1967.0,4.04,"Gabriel García Márquez, Gregory Rabassa",https://images.gr-assets.com/books/1327881361m/320.jpg,https://images.gr-assets.com/books/1327881361l/320.jpg
5297,94.0,The Picture of Dorian Gray,https://images.gr-assets.com/books/1424596966s/5297.jpg,1891.0,4.06,"Oscar Wilde, Jeffrey Eugenides",https://images.gr-assets.com/books/1424596966m/5297.jpg,https://images.gr-assets.com/books/1424596966l/5297.jpg
13536860,95.0,"Fifty Shades Freed (Fifty Shades, #3)",https://images.gr-assets.com/books/1336418837s/13536860.jpg,2012.0,3.88,E.L. James,https://images.gr-assets.com/books/1336418837m/13536860.jpg,https://images.gr-assets.com/books/1336418837l/13536860.jpg
17245,96.0,Dracula,https://images.gr-assets.com/books/1387151694s/17245.jpg,1897.0,3.98,"Bram Stoker, Nina Auerbach, David J. Skal",https://images.gr-assets.com/books/1387151694m/17245.jpg,https://images.gr-assets.com/books/1387151694l/17245.jpg
5060378,97.0,"The Girl Who Played with Fire (Millennium, #2)",https://images.gr-assets.com/books/1351778881s/5060378.jpg,2006.0,4.22,"Stieg Larsson, Reg Keeland",https://images.gr-assets.com/books/1351778881m/5060378.jpg,https://images.gr-assets.com/books/1351778881l/5060378.jpg
11857408,98.0,"Fifty Shades Darker (Fifty Shades, #2)",https://images.gr-assets.com/books/1358266080s/11857408.jpg,2011.0,3.87,E.L. James,https://images.gr-assets.com/books/1358266080m/11857408.jpg,https://images.gr-assets.com/books/1358266080l/11857408.jpg
7244,99.0,The Poisonwood Bible,https://images.gr-assets.com/books/1412242487s/7244.jpg,1998.0,4.02,Barbara Kingsolver,https://images.gr-assets.com/books/1412242487m/7244.jpg,https://images.gr-assets.com/books/1412242487l/7244.jpg
4137,100.0,Me Talk Pretty One Day,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2000.0,3.97,David Sedaris,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
19543,101.0,Where the Wild Things Are,https://images.gr-assets.com/books/1384434560s/19543.jpg,1963.0,4.22,Maurice Sendak,https://images.gr-assets.com/books/1384434560m/19543.jpg,https://images.gr-assets.com/books/1384434560l/19543.jpg
7126,102.0,The Count of Monte Cristo,https://images.gr-assets.com/books/1309203605s/7126.jpg,1844.0,4.21,"Alexandre Dumas, Robin Buss",https://images.gr-assets.com/books/1309203605m/7126.jpg,https://images.gr-assets.com/books/1309203605l/7126.jpg
6288,103.0,The Road,https://images.gr-assets.com/books/1439197219s/6288.jpg,2006.0,3.95,Cormac McCarthy,https://images.gr-assets.com/books/1439197219m/6288.jpg,https://images.gr-assets.com/books/1439197219l/6288.jpg
18710190,104.0,"Allegiant (Divergent, #3)",https://images.gr-assets.com/books/1395582745s/18710190.jpg,2013.0,3.63,Veronica Roth,https://images.gr-assets.com/books/1395582745m/18710190.jpg,https://images.gr-assets.com/books/1395582745l/18710190.jpg
9418327,105.0,Bossypants,https://images.gr-assets.com/books/1481509554s/9418327.jpg,2011.0,3.94,Tina Fey,https://images.gr-assets.com/books/1481509554m/9418327.jpg,https://images.gr-assets.com/books/1481509554l/9418327.jpg
3473,106.0,A Walk to Remember,https://images.gr-assets.com/books/1385738968s/3473.jpg,1999.0,4.15,Nicholas Sparks,https://images.gr-assets.com/books/1385738968m/3473.jpg,https://images.gr-assets.com/books/1385738968l/3473.jpg
